Name of official/organization,Twitter handle,Official position,Faction,Political affiliation
Habibollah Keshtzar,,MP - Behbahan (Khouzestan),Velaayat,Principlist
Amer Ka'abi,,MP - Abadan (Khouzestan),"
",Principlist
Yahya Kamalipour,,MP - Jiroft (Kerman),,Independent
Mostafa Kavakebian,@kavakebian_ir,MP - Tehran (Tehran),List of Hope,Reformist
Jabbar Kouchakinejad Eram Sadati,,MP - Rasht (Gilan),Velaayat,Principlist
Shahram Kouse Gharravi,@ShahramGharravi,MP - Minoudasht (Golestan),,Independent
Mohammadjavad Kolivand,@kolivand98,MP - Karaj (Alborz),,Principlist
Mohsen Kouhkan Rizi,,MP - Lanjan (Esfahan),Velaayat,Principlist
Majid Kianpour,,MP - Doroud (Lorestan),,Independent
Ahmadali Keikha,@ahmadali_keikha,MP - Zabol (Sistan va Balouchestan),List of Hope,Reformist
Alim Yarmohammadi,@A_Yarmohammadi,MP - Zahedan (Sistan va Balouchestan),List of Hope,Reformist
Aliasghar Yousefnejad,@yousefnejad_ir,MP - Sari (Mazandaran),List of Hope,Reformist
Homayoun Yousefi,@homayonyousefi,MP - Ahvaz (Khuzestan),List of Hope,Reformist
Ezatollah Yousefian,,MP - Amol (Mazandaran),,Principlist
Behrouz Bonyadi,@BehrouzBonyadi,MP - Kaashmar (Khorasan-e Razavi),List of Hope,Reformist
Supreme leader,@khamenei_ir,Supreme leader of Iran,,Supreme Leader has no pronounced political affiliation
Hassan Rohani,@HassanRouhani,President,,Centrist/Reformist
Eshagh Jahangiri,@Eshaq_jahangiri,Vice president,,Reformist
Mahmoud Vaezi,@Dr_Vaezi,Chief of Staff of the President of Iran,,Centrist
Mohsen Hajimirzaei,@hajimirzaee_m,Minister of Education,,Reformist
Mohammadjavad Azari Jahromi,@azarijahromi,Minister of Communications,,NA
Ali Rabiei,@Alirabiei_ir,Government Spokesman and the Assistant to the President in Social Communications,,Reformist
Javad Zarif,@JZarif,Foreign Minister of Islamic Republic of Iran,,Reformist
Mohammad Nahavandian,@Nahavandian_ir,President's advisor on economic affairs,,Centrist
Mohammadbagher Nobakht,@MB_Nobakht,President's advisor ,,Reformist
Saeed Namaki,@saeednamaki,Minister of Health,,Centrist
Mohammad Shariatmadari,@shariatmadari_m,"Minister of Cooperative, Labour and Social Welfare",,Reformist
Masoumeh Ebtekar,@ebtekarm_ir,President's advisor on women's affairs,,Reformist
Reza Rahmani,@rezarahmani_ir,Minister of Industry and Mining,,
Seyyed Abbas Salehi,@S_A_Salehi,Minister of Culture and Islamic Guidance,,NA
Isa Kalantari,@IsaKalantari,Head of Iran's department of Environment,,Reformist
Abdolreza Rahmani Fazli,@rahmanifazli,Minister of Interior Affairs,,Conservative
Mansour Gholami,@MansourGholami2,Minister of Higher Education,,
Aliasghar Mounesan,@mounesan_ir,"Head of Iran's Cultural Heritage, Handicrafts and Tourism Organization",,Reformist
Bijan Zanganeh,@BijanZanganeh,Minister of Petroleum Industry,,Reformist
Masoud Soltanifar,Masoud Soltanifar,Minister of Youth Affairs Sports,,Reformist
Young Journalists Club,@yjcagency,Media,,
Fars News Agency,@FarsNews_Agency,Media,,
Tabnak,@Tabnak_News,Media,,
Asr Iran,@asrirannews,Media,,
